CookerStat, GenerateAssetRegistry=0.020169, Initialize=0.103954, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionId0F92EA674C43398A11C66EAA66E059A2_15, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_CA6F77404175FEDBB__FFE1B654B3AA5EFECABEFD5F7BFAADAA71FEEA13, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=497, Duration=2.240375, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionId364493D14B35349DBB376A82BC768070_15, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_EE94C268414EFF1B2__589783626E6CBBE7CBC855F5A7CB63CD57B08215, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=497, Duration=2.031539, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionIdA3E1AE1E4DCEF0542572918ED31867AC_16, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_7B1D21194CDF8562F__738B274788CC3B7DC4C9050D954716748F31902C, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=497, Duration=1.011893, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionId0F92EA674C43398A11C66EAA66E059A2_16, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_8F1C090B46D1E3C20__56D6DE40363B089DFABEEC6274ADB0BF540BD4C3, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=497, Duration=1.144704, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionId364493D14B35349DBB376A82BC768070_16, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_278B75D74B9D625AE__44A2FC978B0CEE81C4D0FCB53EFBCE55B0D3086F, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=497, Duration=1.207381, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionIdA3E1AE1E4DCEF0542572918ED31867AC_17, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_511EA0FC47D76A562__646D143CFAF2A0066BFB29AE6B8680EDA7DE2F27, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=497, Duration=1.476102, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionId0F92EA674C43398A11C66EAA66E059A2_17, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_680F1DE64FAD75271__952E666E6060F3CB1D71DDFAF5021D18E74845BB, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=497, Duration=0.902045, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionId364493D14B35349DBB376A82BC768070_17, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_AFC0312A438EEF6E0__BF1AD6C28BF5D1320A1C120DE3C1D0F489CE5ABE, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=593, Duration=1.121119, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionIdA3E1AE1E4DCEF0542572918ED31867AC_18, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_22AD7D6D40648AF48__468CCF65B60F37E1155CA0AE519058E7B5C81974, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=593, Duration=1.082022, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
DDCTransactionId0F92EA674C43398A11C66EAA66E059A2_18, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_779A64AD4FB8EE39B__E96CDB2FC5B6488D3F5ECC146107394378B92DB3, StartTime=2016.05.12-15.20.11, HierarchicalDDC=, DataSize=593, Duration=0.916630, RunGuid=RunIDD2CFF7CB4D73AC995A48B682C214D622
