CookerStat, GenerateAssetRegistry=0.019856, Initialize=0.106744, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId7DC234004E32262DBD0BED993EBE87B0_12, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_D58AA10643B72A995__A49CBFE2E4E4E824CED80DE0CCDE16641C569459, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=593, Duration=1.566403, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId7D5D9AEF4B14EC5FFB78619D991694FC_13, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_9541391D42839B913__4E4ABE26BA8D671A8D8A2322A3CE353EB7745CF5, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=497, Duration=1.144078, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId828C41E24ED41395DDCC7EBDCBB9E79F_13, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_04FF380840869CFF8__E80941D9E34001AD6AA7A93EC29BBE587250D571, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=497, Duration=2.862528, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId7D5D9AEF4B14EC5FFB78619D991694FC_14, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_C7B56C4C4BFD128EF__A7016C84322D327835E89D06089754A5D0FBFCEB, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=497, Duration=1.822710, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId7DC234004E32262DBD0BED993EBE87B0_13, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_1887D8AB40A7AA00E__21BCB1E7DADBE68B131D81181979D2D9ECC3FB43, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=497, Duration=3.149558, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId828C41E24ED41395DDCC7EBDCBB9E79F_14, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_7B7C1085483134DD3__55200F1F1F0C89629972E19820E6A396D4D0B7FA, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=497, Duration=1.537543, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId7D5D9AEF4B14EC5FFB78619D991694FC_15, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_C64347F8487D96786__4018499C1FC96180CF8D62BAA48CAE1922B12980, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=497, Duration=2.958410, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId7DC234004E32262DBD0BED993EBE87B0_14, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_76D20F3C4513287C1__536BE1FE600D102AD878122535092F65B9473C1B, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=593, Duration=2.658658, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId828C41E24ED41395DDCC7EBDCBB9E79F_15, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_A50DAF29418D03E33__E1CC772EC15CA9FCF4980910045BFC52E03279B0, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=497, Duration=1.502167, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
DDCTransactionId7D5D9AEF4B14EC5FFB78619D991694FC_16, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_7C8EDAC6483D8FB42__898D284255FCA16826CF32BC7DC4ABEA7D1DE824, StartTime=2016.05.12-15.36.52, HierarchicalDDC=, DataSize=497, Duration=4.074875, RunGuid=RunIDC2474C444BCB7B2B03D5D1876E49DD4A
